Point in Time [s],Response Time [s]
5.5125,5.5125
11.025,5.5125
16.5375,5.512500000000001
22.05,5.512499999999999
27.5625,5.512499999999999
33.075,5.512500000000003
38.5875,5.512499999999996
44.1,5.512500000000003
49.6125,5.512499999999996
55.125,5.512500000000003
60.6375,5.512500000000003
66.15,5.512500000000003
71.6625,5.512499999999989
77.175,5.512500000000003
82.6875,5.512500000000003
88.2,5.512500000000003
93.7125,5.512500000000003
99.225,5.512499999999989
104.7375,5.512500000000003
110.25,5.512500000000003
115.7625,5.512500000000003
121.275,5.512500000000003
126.7875,5.512499999999989
132.3,5.512500000000017
137.8125,5.512499999999989
143.325,5.512499999999989
148.8375,5.512500000000017
154.35,5.512499999999989
159.8625,5.512500000000017
165.375,5.512499999999989
170.8875,5.512499999999989
176.4,5.512500000000017
181.9125,5.512499999999989
187.425,5.512500000000017
